ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
YRD,Yiren Digital Ltd.,602,2015-12,75.0,Finance,"China Renaissance Securities, Credit Suisse, Morgan Stanley",
ZKH,ZKH Group Ltd,598,2023-12,62.0,"Business
Services","Deutsche Bank AG, China
Renaissance Securities (Hong
Kong) Limited and China
International Capital Corporation
Hong Kong Securities Limited",
XYF,X Financial,545,2018-09,105.0,Finance,"Deutsche Bank, Morgan Stanley, China Merchants Securities (Hong Kong), EBS International, AMTD Tiger",
AHG,Akso Health Group,535,2017-11,50.0,Finance,Network 1 Financial Securities,
QD,Qudian Inc.,525,2017-10,900.0,Finance,"Citigroup, CICC, Credit Suisse, Morgan Stanley, UBS",
JFIN,Jiayin Group,523,2019-05,37.0,Finance,Roth Capital Partners Needham & Company,
WYHG,"Wing Yip Food
Holdings Group Ltd",498,2024-11,8.0,"Consumer
Staples","Dawson James Securities, Inc., D.
Boral Capital LLC",
ZH,Zhihu,489,2021-03,772.0,Technology,"Credit Suisse, Goldman Sachs, J.P. Morgan Securities",HK
DADA,Dada Nexus (JD Daojia),483,2020-06,320.0,Consumer Services,"Goldman Sachs, Bank of America Securities, Jefferies",
SOHU,Sohu.com Limited,470,2000-07,60.0,Technology,Credit Suisse,
WDH,"Waterdrop, Inc.",469,2021-05,360.0,Finance,"Goldman Sachs (Asia), Morgan Stanley, Bank of America Securities",
CAN,Canaan Creative,454,2019-11,90.0,Technology,"Citigroup Global Markets Inc.,
China Renaissance Securities
(Hong Kong) Ltd., CMB
International",
AAM,"AA Mission
Acquisition Corp.",449,2024-08,300.0,Finance,Clear Street,
YSG,Yatsen Holding,379,2020-11,617.0,Consumer Non- Durables,"Goldman Sachs, Morgan Stanley, CICC",
DOGZ,"Dogness
(International
Corporation)",360,2017-12,55.0,"Consumer
Durables",Spartan Securities,
CANG,Cango Inc.,354,2018-07,44.0,Consumer Services,"Morgan Stanley, Merrill Lynch, Pierce, Fenner & Smith, Goldman Sachs",
JYD,"Jayud Global
Logistics Ltd",347,2023-04,5.0,Industrials,Benchmark Company LLC,
MFH,Mercurity Fintech Holding,330,2015-04,40.0,Technology,Axiom Capital Management,
ZJK,"ZJK Industrial Co.,
Ltd.",324,2024-09,6.0,Industrials,"Cathay Securities, Inc.",
EM,Smart Share Global Limited,293,2021-01,150.0,Consumer Services,"Goldman Sachs (Asia), Citigroup Global Markets, China Renaissance Securities",
XNET,Xunlei Limited,285,2014-07,88.0,Technology,"Citigroup, JP Morgan Chase",
XHG,XChange TEC.INC,276,2019-10,46.0,Real Estate,"Morgan Stanley, CICC",
GHG,"GreenTree
Hospitality Group",260,2018-03,143.0,"Consumer
Services","Merrill Lynch, Morgan Stanley,
UBS Investment Bank",
OCFT,"OneConnect Financial Technology Co., Ltd",250,2019-12,312.0,Technology,"Morgan Stanley, Goldman Sachs, J.P. Morgan, Ping An",HK
ICG,"Intchains Group,
Ltd.",243,2023-03,8.0,Technology,"Maxim Group LLC of America Merrill Lynch, CMB International",
NAMI,Jinxin Technology Holding Co,218,2024-12,5.0,Real Estate,"Craft Capital Management LLC, WestPark Capital, Inc., R. F. Lafferty & Co., Inc.",
